Id,Company,Symbol,Stock.Exchange,Ticker,country,Currency,zip_code,Industry,NUTS3,Quarter,Changes.in.Working.Capital,Gross.Profit,Total.Operating.Expense,Total.Revenue,Working.capital,ROA,EBIDTA,debt.to.EBITDA,Debt.Equity.Ratio,Debt.Ratio,EBITDA.Margin,Return.on.Equity,Working_capital_trend,Profit.Trend,Revenue_trend,Employment..number.of.persons.employed.,Volume.index.of.production,Trade_Volume,Stock_close,CumulativePositive,CumulativeDeceased,CumulativeRecovered,CurrentlyPositive,GDP..in.Million.Euro.,Average.Age,Deaths...total,Persons.per.square.kilometre,Population.on.1.January...total,Current.Ratio,Quick.Ratio,Operating.Cashflow,Net.Profit.Margin,Debtors.days.sales,equity_skewness,equity_kurtosis,Death_rate,GDP_per_Capita,stock_trade_amount,Target
11,WPP PLC,0WP,F,0WP.F,United Kingdom,GBP,SE19GL,Construction Services,UKI44,2020-Q1,-667.5064608,505.175123,5251.418776,3624.988637,369.7907874,-0.131163721,-1400.693479,-3.631593879,1.450775955,0.791966528,-0.386399412,-0.48766621,-4.188689809,-0.342461122,-0.006301063,109.6,52.85,10286.66667,8.504086178,7121,0,0,7121,10473.39025,35.3773086,910.4982057,9896.853078,157277,1.048152532,1.021738395,-622.5,-0.462392749,1.604868612,-0.51468294,0.462655467,0.005789138,66592.00169,87478.69985,1
12,WPP PLC,0WP,F,0WP.F,United Kingdom,GBP,SE19GL,Construction Services,UKI44,2020-Q2,-667.5064608,505.175123,5251.418776,3624.988637,369.7907874,-0.131163721,-1400.693479,-3.631593879,1.450775955,0.791966528,-0.386399412,-0.48766621,0,0,0,110.5,35.55,21083.66667,6.67264684,27670,0,0,27670,8705.441966,35.3773086,910.4982057,9896.853078,157277,1.048152532,1.021738395,-622.5,-0.462392749,1.604868612,-0.51468294,0.462655467,0.005789138,55351.01742,140683.8618,1
13,Kainos Group PLC,1KG,F,1KG.F,United Kingdom,GBP,BT71NT,Electronic Instr. & Controls,,2018-Q1,-1.467475293,17.16166903,31.05723154,35.88171889,20.55114736,0.123371817,5.672181603,0.766870814,0.187489505,0.452749272,0.158079986,0.172963896,0.032592068,0.060250648,0.062037679,102,116.6,0,3.77606082,0,0,0,0,13968.78224,38.57133437,838.5795074,5472.263319,110130.3849,2.083162218,2.083162218,14.15,0.134636265,0.529496924,0.486780601,-1.272535431,0.007614425,126838.5855,0,0
14,Kainos Group PLC,1KG,F,1KG.F,United Kingdom,GBP,BT71NT,Electronic Instr. & Controls,,2018-Q2,-1.467475293,17.16166903,31.05723154,35.88171889,20.55114736,0.123371817,5.672181603,0.766870814,0.187489505,0.452749272,0.158079986,0.172963896,0,0,0,104.7,118.6,0,4.263294379,0,0,0,0,13968.78224,38.57133437,838.5795074,5472.263319,110130.3849,2.083162218,2.083162218,14.15,0.134636265,0.529496924,0.486780601,-1.272535431,0.007614425,126838.5855,0,0
15,Kainos Group PLC,1KG,F,1KG.F,United Kingdom,GBP,BT71NT,Electronic Instr. & Controls,,2018-Q3,-0.863602717,20.01220732,37.97254652,43.62167708,27.0119346,0.118177214,6.551368129,0.728281877,0.16033166,0.398766566,0.150186067,0.15186559,0.314375987,0.16609913,0.215707564,103.8,113.7,75,4.266499996,0,0,0,0,13789.1053,38.60320447,855.4808679,5335.816893,111911.9928,2.389445558,2.389445558,9.34,0.129800536,0.462339982,0.486780601,-1.272535431,0.007644229,123213.8304,319.9874997,0
16,Kainos Group PLC,1KG,F,1KG.F,United Kingdom,GBP,BT71NT,Electronic Instr. & Controls,,2018-Q4,-0.863602717,20.01220732,37.97254652,43.62167708,27.0119346,0.118177214,6.551368129,0.728281877,0.16033166,0.398766566,0.150186067,0.15186559,0,0,0,102.9,126.6,0,4.426488717,0,0,0,0,13827.7973,38.5930018,852.7903543,5362.354805,111649.6326,2.389445558,2.389445558,9.34,0.129800536,0.462339982,0.486780601,-1.272535431,0.007638094,123849.9131,0,0
17,Kainos Group PLC,1KG,F,1KG.F,United Kingdom,GBP,BT71NT,Electronic Instr. & Controls,,2019-Q1,-1.928496292,24.85617443,46.6215602,54.62124852,28.73264678,0.142851577,8.717192837,0.410875233,0.114511106,0.471008127,0.159593438,0.207182894,0.063701923,0.242050616,0.25215838,103.8,120.8,0,5.471256256,0,0,0,0,18981.17795,38.66049193,906.7118054,5437.793362,115751.41,2.06626506,2.06626506,22.52,0.147408464,0.48276272,0.486780601,-1.272535431,0.007833268,163982.2612,0,0
18,Kainos Group PLC,1KG,F,1KG.F,United Kingdom,GBP,BT71NT,Electronic Instr. & Controls,,2019-Q2,-1.928496292,24.85617443,46.6215602,54.62124852,28.73264678,0.142851577,8.717192837,0.410875233,0.114511106,0.471008127,0.159593438,0.207182894,0,0,0,102,118.9,93.33333333,6.561601957,0,0,0,0,19116.55426,38.63936088,906.7645042,5433.118343,116164.7114,2.06626506,2.06626506,22.52,0.147408464,0.48276272,0.486780601,-1.272535431,0.007805852,164564.2126,612.4161826,0
19,Kainos Group PLC,1KG,F,1KG.F,United Kingdom,GBP,BT71NT,Electronic Instr. & Controls,,2019-Q3,-4.603716738,26.21975767,48.72537434,56.41987974,30.68711609,0.122073166,8.969780398,0.319241349,0.074531012,0.424248321,0.158982622,0.162751394,0.068022599,0.054858934,0.032929149,102.9,115.3,0,5.435453892,0,0,0,0,19278.26852,38.65471878,906.7700947,5381.419823,117783.2421,2.230088496,2.230088496,7.21,0.138220739,0.485326275,0.486780601,-1.272535431,0.007698634,163675.8182,0,0
20,Kainos Group PLC,1KG,F,1KG.F,United Kingdom,GBP,BT71NT,Electronic Instr. & Controls,,2019-Q4,-4.603716738,26.21975767,48.72537434,56.41987974,30.68711609,0.122073166,8.969780398,0.319241349,0.074531012,0.424248321,0.158982622,0.162751394,0,0,0,106.4,124.9,2583.333333,7.074281375,0,0,0,0,19157.20675,38.66823844,906.7700947,5327.886402,117845.8948,2.230088496,2.230088496,7.21,0.138220739,0.485326275,0.486780601,-1.272535431,0.007694541,162561.5112,18275.22688,0
21,Kainos Group PLC,1KG,F,1KG.F,United Kingdom,GBP,BT71NT,Electronic Instr. & Controls,,2020-Q1,-2.733659728,28.29759879,52.52392764,59.6665065,25.99898705,0.102593405,8.608106178,0.308516256,0.069146238,0.478487039,0.144270323,0.150972105,-0.1527719,0.079247152,0.057544021,110.9,120.4,1395.333333,8.348560333,3666.473171,6.053658537,0,3660.419512,18610.66498,38.88557222,909.2158173,5186.501802,119791.4149,1.812664908,1.812664908,24.23,0.121231908,0.502230928,0.486780601,-1.272535431,0.007589991,155358.9211,11649.02452,0
22,Kainos Group PLC,1KG,F,1KG.F,United Kingdom,GBP,BT71NT,Electronic Instr. & Controls,,2020-Q2,-2.733659728,28.29759879,52.52392764,59.6665065,25.99898705,0.102593405,8.608106178,0.308516256,0.069146238,0.478487039,0.144270323,0.150972105,0,0,0,107.3,106.7,473,8.302142144,18130.09268,289.0341463,0,17841.0439,15469.11364,38.88557222,909.2158173,5186.501802,119791.4149,1.812664908,1.812664908,24.23,0.121231908,0.502230928,0.486780601,-1.272535431,0.007589991,129133.7418,3926.913234,0
23,2Crsi SA,2CRSI,PA,2CRSI.PA,France,EUR,67200,Investment Services,FRF11,2018-Q1,-2.511471793,3.491415226,14.58766093,14.86932132,24.0408877,0.003520755,0.745226443,7.173228346,0.22133139,0.564260004,0.05011839,0.006559767,0.011789684,0.270998836,0.242303684,72.81,103.06,,,0,0,0,0,574.22875,40.77813942,2418,237.6,282048.75,2.133333333,1.718395574,-4.83,0.00789266,0.423835833,-0.239870231,-2.26198911,0.008572986,2035.920209,0,0
24,2Crsi SA,2CRSI,PA,2CRSI.PA,France,EUR,67200,Investment Services,FRF11,2018-Q2,-2.511471793,3.491415226,14.58766093,14.86932132,24.0408877,0.003520755,0.745226443,7.173228346,0.22133139,0.564260004,0.05011839,0.006559767,0,0,0,74.59,116.2,933604,9.460000038,0,0,0,0,574.22875,40.77813942,2418,237.6,282048.75,2.133333333,1.718395574,-4.83,0.00789266,0.423835833,-0.239870231,-2.26198911,0.008572986,2035.920209,8831893.875,0
25,2Crsi SA,2CRSI,PA,2CRSI.PA,France,EUR,67200,Investment Services,FRF11,2018-Q3,-22.72060463,5.950075696,21.50007628,23.3778122,31.42860496,0.041075473,2.417584997,3.296116505,0.266326731,0.48681562,0.103413655,0.067268092,0.307298023,0.704201681,0.572217837,75.41,122.66,318757.6667,10.05333328,0,0,0,0,574.22875,40.77813942,2418,237.6,282048.75,2.885251672,2.163674762,-32.38,0.074548193,0.980672691,-0.239870231,-2.26198911,0.008572986,2035.920209,3204577.059,0
26,2Crsi SA,2CRSI,PA,2CRSI.PA,France,EUR,67200,Investment Services,FRF11,2018-Q4,-22.72060463,5.950075696,21.50007628,23.3778122,31.42860496,0.041075473,2.417584997,3.296116505,0.266326731,0.48681562,0.103413655,0.067268092,0,0,0,75.49,122.72,266819.6667,8.586666425,0,0,0,0,574.22875,40.77813942,2418,237.6,282048.75,2.885251672,2.163674762,-32.38,0.074548193,0.980672691,-0.239870231,-2.26198911,0.008572986,2035.920209,2291091.474,0
27,2Crsi SA,2CRSI,PA,2CRSI.PA,France,EUR,67200,Investment Services,FRF11,2019-Q3,-4.934924715,2.998509547,13.89524581,12.59843444,28.92886902,-0.024645284,-0.492905679,-30.76190476,0.526380118,0.516020901,-0.03912436,-0.04440823,-0.079536968,-0.496055227,-0.461094377,79.07,126.4,460905.6667,7.793333053,0,0,0,0,866.2780667,41.02017304,224.75,238.1010544,282592.5,3.197949175,2.184128399,-5.06,-0.113181183,1.639496973,-0.239870231,-2.26198911,0.000795315,3065.467295,3591991.367,1
28,2Crsi SA,2CRSI,PA,2CRSI.PA,France,EUR,67200,Investment Services,FRF11,2019-Q4,-4.934924715,2.998509547,13.89524581,12.59843444,28.92886902,-0.024645284,-0.492905679,-30.76190476,0.526380118,0.516020901,-0.03912436,-0.04440823,0,0,0,78.62,127.28,1553231.333,4.606666644,0,0,0,0,866.2780667,41.02017304,224.75,238.1010544,282592.5,3.197949175,2.184128399,-5.06,-0.113181183,1.639496973,-0.239870231,-2.26198911,0.000795315,3065.467295,7155218.972,1
29,2Crsi SA,2CRSI,PA,2CRSI.PA,France,EUR,67200,Investment Services,FRF11,2020-Q1,1.596075532,8.062528606,34.52686923,32.56698236,24.7274349,-0.016430189,0.23471699,153.725,1.302478288,0.700234936,0.007207207,-0.04511756,-0.145233266,1.688845401,1.585002328,78.53,105.63,1521536.667,3.279999892,0,56,95,-151,824.974963,41.26364322,225.3687285,238.7565378,283370,1.781238413,1.141268076,12.24,-0.044504505,0.525945946,-0.239870231,-2.26198911,0.000795316,2911.299584,4990640.103,0
30,2Crsi SA,2CRSI,PA,2CRSI.PA,France,EUR,67200,Investment Services,FRF11,2020-Q2,1.596075532,8.062528606,34.52686923,32.56698236,24.7274349,-0.016430189,0.23471699,153.725,1.302478288,0.700234936,0.007207207,-0.04511756,0,0,0,74.85,83.73,1693296.667,3.301666657,0,198,673,-871,730.4076951,41.26364322,225.3687285,238.7565378,283370,1.781238413,1.141268076,12.24,-0.044504505,0.525945946,-0.239870231,-2.26198911,0.000795316,2577.575943,5590701.146,0
31,McColl's Retail Group PLC,2M2,F,2M2.F,United Kingdom,GBP,CM159ST,Motion Pictures,UKH36,2018-Q1,16.66818176,103.5868732,392.2249782,396.3611807,-36.85570692,0.003895952,11.3774788,8.667389567,1.03263752,0.718143314,0.028704826,0.01013123,0.027379323,-0.005180059,-0.000789299,69.4,103.06,0,2.570589145,0,0,0,0,2903.62,42.04320187,738,374.1,79400.5,0.735532569,0.385891343,37.71,0.003833426,0.070623505,1.126373698,-0.162453917,0.009294652,36569.29113,0,0
32,McColl's Retail Group PLC,2M2,F,2M2.F,United Kingdom,GBP,CM159ST,Motion Pictures,UKH36,2018-Q2,16.66818176,103.5868732,392.2249782,396.3611807,-36.85570692,0.003895952,11.3774788,8.667389567,1.03263752,0.718143314,0.028704826,0.01013123,0,0,0,71.26666667,116.2,0,2.48528409,0,0,0,0,2903.62,42.04320187,738,374.1,79400.5,0.735532569,0.385891343,37.71,0.003833426,0.070623505,1.126373698,-0.162453917,0.009294652,36569.29113,0,0
33,McColl's Retail Group PLC,2M2,F,2M2.F,United Kingdom,GBP,CM159ST,Motion Pictures,UKH36,2018-Q3,26.36260925,111.5086425,409.2827552,415.4643326,-53.95893666,0.014285158,12.93293768,6.383331241,0.898642918,0.722392277,0.031128876,0.037885213,0.464059197,0.076474644,0.048196324,70,122.66,556.3333333,1.559285084,0,0,0,0,2903.62,42.04320187,738,374.1,79400.5,0.644004627,0.302146254,61.84,0.008642786,0.065610153,1.126373698,-0.162453917,0.009294652,36569.29113,867.4822683,0
34,McColl's Retail Group PLC,2M2,F,2M2.F,United Kingdom,GBP,CM159ST,Motion Pictures,UKH36,2018-Q4,26.36260925,111.5086425,409.2827552,415.4643326,-53.95893666,0.014285158,12.93293768,6.383331241,0.898642918,0.722392277,0.031128876,0.037885213,0,0,0,76.4,122.72,5900,1.100264668,0,0,0,0,2903.62,42.04320187,738,374.1,79400.5,0.644004627,0.302146254,61.84,0.008642786,0.065610153,1.126373698,-0.162453917,0.009294652,36569.29113,6491.561541,0
35,McColl's Retail Group PLC,2M2,F,2M2.F,United Kingdom,GBP,CM159ST,Motion Pictures,UKH36,2019-Q1,1.954469306,100.6714024,393.9976365,396.776749,-50.61491111,0.003895952,10.48173448,7.842651386,0.886182276,0.71924377,0.026417209,0.0100098,-0.061973526,-0.097187445,-0.044979995,71.93333333,109.6,5025.333333,0.707289855,0,0,0,0,4090.161377,42.17556753,908,376.2118548,79786.25,0.663979653,0.318993017,13.36,0.000343665,0.060697804,1.126373698,-0.162453917,0.011380407,51263.98818,3554.367284,0
36,McColl's Retail Group PLC,2M2,F,2M2.F,United Kingdom,GBP,CM159ST,Motion Pictures,UKH36,2019-Q2,1.954469306,100.6714024,393.9976365,396.776749,-50.61491111,0.003895952,10.48173448,7.842651386,0.886182276,0.71924377,0.026417209,0.0100098,0,0,0,71.93333333,126.4,66.66666667,0.87597086,0,0,0,0,4090.161377,42.17556753,908,376.2118548,79786.25,0.663979653,0.318993017,13.36,0.000343665,0.060697804,1.126373698,-0.162453917,0.011380407,51263.98818,58.39805734,0
37,McColl's Retail Group PLC,2M2,F,2M2.F,United Kingdom,GBP,CM159ST,Motion Pictures,UKH36,2019-Q3,-3.902445359,104.3465839,456.1120995,394.5560563,-42.79703388,-0.307780216,-53.98750698,-1.577022996,3.390742177,0.90576248,-0.136831018,-2.517972589,-0.154457986,0.036506708,-0.005596832,72.53333333,126.4,0,0.576083332,0,0,0,0,4090.161377,42.17556753,908,376.2118548,79786.25,0.712547429,0.335601204,20,-0.162695017,0.065746165,1.126373698,-0.162453917,0.011380407,51263.98818,0,1
38,McColl's Retail Group PLC,2M2,F,2M2.F,United Kingdom,GBP,CM159ST,Motion Pictures,UKH36,2019-Q4,-3.902445359,104.3465839,456.1120995,394.5560563,-42.79703388,-0.307780216,-53.98750698,-1.577022996,3.390742177,0.90576248,-0.136831018,-2.517972589,0,0,0,73.8,127.28,716.6666667,0.471666664,0,0,0,0,4090.161377,42.17556753,908,376.2118548,79786.25,0.712547429,0.335601204,20,-0.162695017,0.065746165,1.126373698,-0.162453917,0.011380407,51263.98818,338.0277759,1
39,McColl's Retail Group PLC,2M2,F,2M2.F,United Kingdom,GBP,CM159ST,Motion Pictures,UKH36,2020-Q1,7.337376466,97.83385063,387.7965794,392.6924925,-42.74508785,-0.002597301,11.47779957,20.0865556,13.52609524,0.95797714,0.029228467,-0.038857143,-0.001213776,-0.062414437,-0.004723191,74.46666667,105.63,870,0.386000008,1632,0,0,1632,4064.564362,42.30834992,910.4982057,377.246937,80006,0.747274263,0.436808968,36.38,-0.002166113,0.064834565,1.126373698,-0.162453917,0.011380374,50803.24428,335.820007,1
40,McColl's Retail Group PLC,2M2,F,2M2.F,United Kingdom,GBP,CM159ST,Motion Pictures,UKH36,2020-Q2,7.337376466,97.83385063,387.7965794,392.6924925,-42.74508785,-0.002597301,11.47779957,20.0865556,13.52609524,0.95797714,0.029228467,-0.038857143,0,0,0,73.2,83.73,4200.333333,0.471666674,15288,0,0,15288,3378.450371,42.30834992,910.4982057,377.246937,80006,0.747274263,0.436808968,36.38,-0.002166113,0.064834565,1.126373698,-0.162453917,0.011380374,42227.46258,1981.157253,1
41,AA PLC,2XA,F,2XA.F,United Kingdom,GBP,RG214EA,Business Services,,2018-Q1,-54.54332948,196.096256,233.7571263,317.5200966,-125.3197927,0.033764918,98.11111255,18.47157786,-1.59031339,1.960591133,0.30899182,-0.026780627,0.098865567,0.000740888,0.00351366,72.81,103.06,19045.66667,1.344309718,0,0,0,0,13968.78224,38.57133437,838.5795074,5472.263319,110130.3849,0.649727768,0.637023593,316,0.124744376,0.343558282,-0.16493065,-1.087318154,0.007614425,126838.5855,25603.27479,0
42,AA PLC,2XA,F,2XA.F,United Kingdom,GBP,RG214EA,Business Services,,2018-Q2,-54.54332948,196.096256,233.7571263,317.5200966,-125.3197927,0.033764918,98.11111255,18.47157786,-1.59031339,1.960591133,0.30899182,-0.026780627,0,0,0,74.59,116.2,16381.66667,1.232856726,0,0,0,0,13968.78224,38.57133437,838.5795074,5472.263319,110130.3849,0.649727768,0.637023593,316,0.124744376,0.343558282,-0.16493065,-1.087318154,0.007614425,126838.5855,20196.24794,0
43,AA PLC,2XA,F,2XA.F,United Kingdom,GBP,RG214EA,Business Services,,2018-Q3,-7.791904212,183.7590743,236.3544277,311.6761685,-120.7745153,0.016882459,92.83274678,19.48687818,-1.731510255,1.888950276,0.29785,-0.014294593,-0.03626943,-0.062913907,-0.018404908,75.41,122.66,6333.333333,1.2296564,0,0,0,0,13789.1053,38.60320447,855.4808679,5335.816893,111911.9928,0.668449198,0.65597148,140,0.058333333,0.370833333,-0.16493065,-1.087318154,0.007644229,123213.8304,7787.823866,0
44,AA PLC,2XA,F,2XA.F,United Kingdom,GBP,RG214EA,Business Services,,2018-Q4,-7.791904212,183.7590743,236.3544277,311.6761685,-120.7745153,0.016882459,92.83274678,19.48687818,-1.731510255,1.888950276,0.29785,-0.014294593,0,0,0,75.49,122.72,5513,1.031129211,0,0,0,0,13827.7973,38.5930018,852.7903543,5362.354805,111649.6326,0.668449198,0.65597148,140,0.058333333,0.370833333,-0.16493065,-1.087318154,0.007638094,123849.9131,5684.61534,0
45,AA PLC,2XA,F,2XA.F,United Kingdom,GBP,RG214EA,Business Services,,2019-Q1,-28.57031544,192.8496292,257.132839,324.0133501,-109.086659,0.012986507,84.71942652,21.34541246,-1.647928994,1.923497268,0.261468938,-0.011242604,-0.096774193,0.049469965,0.039583333,76.49,109.6,1643.666667,0.89230739,0,0,0,0,18981.17795,38.66049193,906.7118054,5437.793362,115751.41,0.675048356,0.667311412,258,0.0501002,0.410821643,-0.16493065,-1.087318154,0.007833268,163982.2612,1466.655914,0
46,AA PLC,2XA,F,2XA.F,United Kingdom,GBP,RG214EA,Business Services,,2019-Q2,-28.57031544,192.8496292,257.132839,324.0133501,-109.086659,0.012986507,84.71942652,21.34541246,-1.647928994,1.923497268,0.261468938,-0.011242604,0,0,0,78.2,126.4,12900.33333,0.825251437,0,0,0,0,19116.55426,38.63936088,906.7645042,5433.118343,116164.7114,0.675048356,0.667311412,258,0.0501002,0.410821643,-0.16493065,-1.087318154,0.007805852,164564.2126,10646.01862,0
47,AA PLC,2XA,F,2XA.F,United Kingdom,GBP,RG214EA,Business Services,,2019-Q3,9.739880264,194.1482799,240.8997052,318.8187473,-237.6530785,0.023375713,95.33264938,19.15977605,-1.658608491,1.887493459,0.29901833,-0.02004717,1.178571428,0.006734007,-0.016032064,79.07,126.4,7549.666667,0.549409168,0,0,0,0,19278.26852,38.65471878,906.7700947,5381.419823,117783.2421,0.50473613,0.49932341,164,0.085539715,0.439918534,-0.16493065,-1.087318154,0.007698634,163675.8182,4147.856082,0
48,AA PLC,2XA,F,2XA.F,United Kingdom,GBP,RG214EA,Business Services,,2019-Q4,9.739880264,194.1482799,240.8997052,318.8187473,-237.6530785,0.023375713,95.33264938,19.15977605,-1.658608491,1.887493459,0.29901833,-0.02004717,0,0,0,78.62,127.28,18062.66667,0.546911536,0,0,0,0,19157.20675,38.66823844,906.7700947,5327.886402,117845.8948,0.50473613,0.49932341,164,0.085539715,0.439918534,-0.16493065,-1.087318154,0.007694541,162561.5112,9878.680773,0
49,AA PLC,2XA,F,2XA.F,United Kingdom,GBP,RG214EA,Business Services,,2020-Q1,2.597301404,196.7455813,238.3024038,327.2599769,-200.6415334,0.03636222,106.3711803,16.92121745,-1.753320683,1.825587467,0.325035714,-0.033523087,-0.155737705,0.013377926,0.026476579,78.53,105.63,32583.66667,0.569666674,3666.473171,6.053658537,0,3660.419512,18610.66498,38.88557222,909.2158173,5186.501802,119791.4149,0.577291382,0.571819425,317,0.128968254,0.462301587,-0.16493065,-1.087318154,0.007589991,155358.9211,18561.82902,0
50,AA PLC,2XA,F,2XA.F,United Kingdom,GBP,RG214EA,Business Services,,2020-Q2,2.597301404,196.7455813,238.3024038,327.2599769,-200.6415334,0.03636222,106.3711803,16.92121745,-1.753320683,1.825587467,0.325035714,-0.033523087,0,0,0,74.85,83.73,20533.66667,0.231666674,18130.09268,289.0341463,0,17841.0439,15469.11364,38.88557222,909.2158173,5186.501802,119791.4149,0.577291382,0.571819425,317,0.128968254,0.462301587,-0.16493065,-1.087318154,0.007589991,129133.7418,4756.966262,0
